,content,source,per,org,loc
44,尽管最后时刻巴西出现致命失误，送给对手三次罚球机会，然而今晚大家的罚球似乎都陷入了迷之手感，没能把握住机会的希腊队只得苦苦吞下败果,体育,[],[希腊队],[巴西]
45,此后，韩光宋在重返卡利亚里队之后还斩获了个人意甲处子进球,体育,[韩光宋],[卡利亚里队],[]
46,虽然大多数时间里他都被租借到意乙锻炼，但是他的潜力早就被很多意大利球队所看好,体育,[],[意大利球队],[]
47,按照规则，中国男篮都必须战胜委内瑞拉男篮，才能够直接进入下一轮小组赛,体育,[],"[中国男篮, 委内瑞拉男篮]",[]
48,在两队的交手历史上，中国男篮在世界大赛上四次负于委内瑞拉,体育,[],[中国男篮],[委内瑞拉]
49,世界教练排名出炉李霄鹏第36位创本土新高9月4日，在ClubWorldRanking网站最新一期的世界教练排名中，鲁能主帅李霄鹏位列世界教练排行榜第36位，创造了中国本土教练的新高,体育,"[李霄鹏, 李霄鹏]",[鲁能],[中国]
50,排名第二高的本土教练是建业的王宝山，他在世界教练排行榜中排在第157位,体育,[王宝山],[建业],[]
51,卡拉斯科妻子在Instagram上分享了他头戴生日帽的可爱照片，并写道：“生日快乐，爱你,体育,[卡拉斯科],[],[]
52,陈珍珍获得护士个人第三名，荣获“技能标兵”称号,体育,[陈珍珍],[],[]
53,走遍巴蜀大地，穿梭于古朴小城的街头巷尾，一直所坚持的只是想要寻找传统川味之精髓，朴素烹饪之技法，用心做出的特色,体育,[],[],[巴蜀]
54,打组合翻中袋，丁俊晖展示高超技艺，但长台防守的隐患外露,体育,[丁俊晖],[],[]
55,丁俊晖一鼓作气，清台，献出单杆41分，以41：25再下一城,体育,[丁俊晖],[],[]
56,第三局，丁俊晖先入局，十八般武艺全部用上，先是打组合红球入左侧低袋成功，又是翻中袋入袋，一杆打到22分停球,体育,[丁俊晖],[],[]
57,但看过程，丁俊晖的运气似乎好过了技术,体育,[丁俊晖],[],[]
58,小丁解球漏球，并且被罚4分,体育,[小丁],[],[]
59,坎桑姆攻入红球，并用过两杆调教，成功入局，清台，打出本场首次单杆62分的高分,体育,[坎桑姆],[],[]
60,坎桑姆占得先机，一杆再添40分，以58：11继续缩小差距,体育,[坎桑姆],[],[]
61,防守大战中，丁俊晖高杆推进一颗远台红球打破僵局,体育,[丁俊晖],[],[]
62,此时有三颗红球贴裤，丁俊晖一一破解，清彩至黑球，打出单杆39分，以39：13取得本场胜利,体育,[丁俊晖],[],[]
63,这是可喜之处，但今晚丁俊晖的表现并不是一个大师级别的表现,体育,[丁俊晖],[],[]
64,丁俊晖的另一个隐患是，他的长台命中率并不佳，防守也中规中矩，简单红球失误颇多,体育,[丁俊晖],[],[]
65,而随着休赛期交易结束，威少加盟快船携手三弟哈登，康利也远赴爵士辅佐年轻的米切尔,体育,"[哈登, 康利, 米切尔，威少]",[快船],[]
66,威少和保罗的互换交易确实在联盟引起了不小的轰动,体育,[保罗，威少],[],[]
67,在拥有詹姆斯的情况下，和戴维斯组成“双子星”，这样的组合是相对不错，但面对外部整个联盟的格局，还算不上特别给力,体育,"[詹姆斯, 戴维斯]",[],[]
68,不过按照湖人队当下的球队阵容，新赛季必将有所成就，进步应该会有的,体育,[],[湖人队],[]
69,2004年状元——霍华德，尽管上赛季只打了9场常规赛就宣布赛季报销，但最近几个赛季的整体表现还算不错,体育,[霍华德],[],[]
70,此外场均能得到10.3分的格林，以及9.3分的布拉德利，其实后者在灰熊队和前面几支球队的场均得分都在15分左右,体育,"[格林, 布拉德利]",[灰熊队],[]
71,不要忘记霍华德在上赛季也能输出场均12.8分，并且是在受伤的那段时期,体育,[霍华德],[],[]
72,不过戴维斯和霍华德的内线进攻，格林在三分线外的投射和布拉德利的中投，都是能丰富球队的进攻方式,体育,"[戴维斯, 霍华德, 格林, 布拉德利]",[],[]
73,还有即将年满34岁的霍华德也是，固然还有准两双的数据贡献，关键是他的打球经历确实能帮助湖人队缓解内线压力,体育,[霍华德],[湖人队],[]
74,当下湖人队的阵容是比上赛季更强的，这点从戴维斯在鹈鹕队的数据表现已得到证明，加上他之外还有不少补强点,体育,[戴维斯],"[湖人队, 鹈鹕队]",[]
75,在詹姆斯之后，这支球队的未来目前看来就是戴维斯，明年夏天有望跳出球员选项的他会不会留在湖人队，这个都不好说,体育,"[詹姆斯, 戴维斯]",[湖人队],[]
76,对于上一场比赛痛失好局的中国男篮，这场比赛显得尤为重要，这也让精彩的世界杯多了一些看点,体育,[],[中国男篮],[]
77,其实并非如此，因为作为湖人当家球星的詹姆斯，不但不好好训练，还“兼职”赚起了外快,体育,[詹姆斯],[湖人],[]
78,不得不说詹姆斯的商业头脑的确可以，真是一个被篮球耽误的商人,体育,[詹姆斯],[],[]
79,然而在过去中国男篮的两场比赛中，我们看到的是一支在“客场”比赛的中国男篮，争议吹罚不断，甚至一些明显的错漏判都出现了，当然，比赛既然已经结束，说那些也没啥大用，可目前的情况不止是中国男篮吐槽，几乎有三分之一的球队都加入了吐槽裁判的行列,体育,[],"[中国男篮, 中国男篮, 中国男篮]",[]
80,在昨天黑山男篮与新西兰的比赛中，黑山男篮的主教练就因为不满裁判的吹罚被驱逐出场，之后黑山的球迷更是狂嘘裁判，甚至有的球迷不满吹罚直接离场,体育,[],"[黑山男篮, 黑山男篮]","[新西兰, 黑山]"
81,RB莱比锡上赛季先进球的20场比赛赢下了其中18场，而先丢球的8场只有1胜3平4负，先进球与否也比较关键，3个赛季都能参加欧战也反映出球队强大的竞争力,体育,[],[],[莱比锡]
82,RB莱比锡上赛季表现不俗，最终排在了联赛第三，拿到了一个欧冠席位,体育,[],[],[莱比锡]
83,两队近18年来共交手6次，RB莱比锡3胜2平1负，平均每场进1.17球，失0.83球,体育,[],[],[莱比锡]
84,据了解，内马尔的球队已经知道这笔临近转会窗口关闭才进行谈判的困难程度，这确实让一些人对巴萨到底有多认真产生了疑问，而且在过去的几周里态度也发生了变化,体育,[内马尔],[巴萨],[]
85,东方体育仅提供信息发布平台,体育,[],[东方体育],[]
86,“在利物浦和巴西国家队我都有很多值得期待的事情,体育,[],"[利物浦, 巴西国家队]",[]
87,所以就像我说的，我更愿意专注于自己的工作，帮助利物浦在这个赛季取得荣誉,体育,[],[利物浦],[]
88,我相信今年我将在利物浦学到更多，因为人总是不断进步的,体育,[],[利物浦],[]
89,”你可能面对艰难的一年，因为利物浦的目标是赢得欧冠和英超这两个艰难的冠军，你认为是这样的吗,体育,[],[利物浦],[]
90,”当你刚刚到达欧洲时，你的梦想是什么,体育,[],[],[欧洲]
91,当我到达欧洲的第一天起，我就很受欢迎并适应了环境,体育,[],[],[欧洲]
92,后面我来到了英国，一切都很顺利,体育,[],[],[英国]
93,加比戈尔加盟蓝黑军团后始终未能证明自己的实力，最终租借回到弗拉门戈后重新找回了进球的感觉,体育,[戈尔],[弗拉门戈],[]
94,此外，他们也希望在加比戈尔的租借到期后（12月19日），再与他的经纪人进行谈判,体育,[戈尔],[],[]
95,”关于改革：“这是一个长期要讨论的话题，但是在像皇马这样大家都想留，并不是大家都想走的球队，改革并不是那么容易实现的,体育,[],[皇马],[]
96,在拥有詹姆斯的情况下，和戴维斯组成“双子星”，这样的组合是相对不错，但面对外部整个联盟的格局，还算不上特别给力,体育,"[詹姆斯, 戴维斯]",[],[]
97,如果按照10分的标准给湖人队的休赛期运作打分，能给到8分，那会要是能签下伦纳德估计就是满分10分，可是球队和他之间没有达成共识,体育,[伦纳德],[湖人队],[]
98,不过按照湖人队当下的球队阵容，新赛季必将有所成就，进步应该会有的,体育,[],[湖人队],[]
99,上赛季贡献场均12篮板2.4盖帽的戴维斯获得过2018年、2015年和2014年的盖帽王,体育,[戴维斯],[],[]
100,2004年状元——霍华德，尽管上赛季只打了9场常规赛就宣布赛季报销，但最近几个赛季的整体表现还算不错,体育,[霍华德],[],[]
101,目前国足正在集训，准备即将到来的首场世预赛，而卡塔尔世界杯官方也发布了赛事logo，标志着正式进入“世界杯时间”,体育,[],[国足],[]
102,很显然，对于理查德-汉密尔顿的言论，我表示100%赞同,体育,[理查德-汉密尔顿],[],[]
103,但是我清楚的知道，安东尼是如何一步一步成为雷霆的稳定得分点的,体育,[安东尼],[雷霆],[]
104,根据历史记载和我当时对比赛的观看可以了解到，安东尼的主要进攻方式包括：试探步后的中距离投篮，试探步后的突破上篮，以及他在巅峰时期的常规武器，背身单打后的转身跳投,体育,[安东尼],[],[]
105,但是安东尼需要一个搭档，一个愿意为他做任何事情的搭档,体育,[安东尼],[],[]
106,他利用超强的协防能力和防守意识，让安东尼再无后顾之忧，可以把所有的精力都放在进攻端，这就是雷霆能取得8连胜的根源所在,体育,[安东尼],[雷霆],[]
107,当然，罗伯森同时还减轻了乔治和威斯布鲁克的防守压力,体育,"[罗伯森, 乔治, 威斯布鲁克]",[],[]
108,就在此时此刻，我认为湖人签约安东尼的最佳时机到了,体育,[安东尼],[湖人],[]
109,也许安东尼+戴维斯这对组合会给我们带来意想不到的惊喜,体育,"[安东尼, 戴维斯]",[],[]
110,我认为戴维斯完全可以效仿罗伯森，从而让安东尼成为球队最稳定的得分点,体育,"[戴维斯, 罗伯森, 安东尼]",[],[]
111,罗伯森所拥有的身体素质，敏捷性，爆发力和灵动性，这些戴维斯都具备，同时戴维斯也有令人难以置信的臂展,体育,"[罗伯森, 戴维斯, 戴维斯]",[],[]
112,当然，你要看戴维斯愿不愿意为安东尼而无条件付出,体育,"[戴维斯, 安东尼]",[],[]
113,合同头两年薪水完全保障，柯林斯总计将获得3500万美元保障收入,体育,[柯林斯],[],[]
114,柯林斯原本被认为会在2015年选秀首轮被选中，但是由于选秀前牵涉前女友被谋杀一事，他最终落选,体育,[柯林斯],[],[]
115,在柯林斯为球队效力2年首发14场比赛后，牛仔重组了他的合同，在2017年与他签下了新的2年合同，价值1450万美元,体育,[柯林斯],[],[]
116,续约柯林斯确保牛仔锁定了进攻锋线的关键球员,体育,[柯林斯],[],[]
117,冰雪运动在陕西省开展较晚，底子较薄，为实现陕西省冬季运动项目“追赶超越”目标，推进陕西体育强省建设作出贡献,体育,[],[],"[陕西省, 陕西省, 陕西]"
118,现在欧洲夏季转会窗口正式关闭，而今夏最热门的转会话题内马尔的去留终于也暂时画上了一个休止符，不过有一名英超球员想要在压哨时间出售时，却面临了无人问津的尴尬,体育,[内马尔],[],[欧洲]
119,而另一方面，在转会窗口关闭之前，虽然巴萨仍然在寻找一名前锋,体育,[],[巴萨],[]
120,“陆瑶琴，你还把这种人弄到我们项目部来，你真是太放肆了,体育,[陆瑶琴],[],[]
121,周天在一边看着这一切，不禁摇了摇头,体育,[周天],[],[]
122,”周天这时脸色一沉，问肖三,体育,"[周天, 肖三]",[],[]
123,”“呵呵，我肖三从来不打女人的，现在我只想收拾这小子,体育,[肖三],[],[]
124,”周天心里很是无语，看来林子大了什么鸟都有，看来这个肖三是不想混了,体育,"[周天, 肖三]",[],[]
125,想到此，周天走到了肖三的近前,体育,"[周天, 肖三]",[],[]
126,柳月儿看得出来，肖三已经要动手了，这种人动起手来肯定下死手，少爷哪顶得住,体育,"[柳月儿, 肖三]",[],[]
127,“肖三，我劝你不要在这里闹事，要不然我们苗总会很不高兴,体育,[肖三，苗总],[],[]
128,”“你在这包活是罗刚给安排的，跟她有个毛线关系,体育,[罗刚],[],[]
129,今天我还非揍她不可了，出事让罗刚给摆平就是了,体育,[罗刚],[],[]
130,所以肖三拦下了陆瑶琴，没让她动手,体育,"[肖三, 陆瑶琴]",[],[]
131,但很快，肖三就瞪圆了眼睛，“竟敢直呼我们龙四爷的大名，你小子是不是活的不耐烦了,体育,[肖三，龙四爷],[],[]
132,陆瑶琴吓得不敢再吱声了,体育,[陆瑶琴],[],[]
133,”周天看着肖三，不紧不慢的说道,体育,"[周天, 肖三]",[],[]
134,”肖三在周天面前点头哈腰的，苦着脸束手站在那,体育,[肖三],[],[]
135,虽然双方还没有最终走完流程，但目前来看基本已经确认二人将会分别执教国羽男双和女双两个组的执教工作，这也是中国羽毛球历史上第一次聘请外教,体育,[],[国羽],[中国]
136,展开剩余67%军训的生活是丰富多彩的，在湖南大学，军训生活不只是头顶烈日，脚踏水泥地板,体育,[],[湖南大学],[]
137,不过从竞彩官方给出的数据来看，中国男篮的背水一战显然颇受支持，有望取胜晋级,体育,[],[中国男篮],[]
138,在上战面对小组最强对手波兰时，中国男篮在首节一度领先对手多达12分，但从主力先后遭遇犯规困扰之后，情况急转直下，由于关键时刻的几次致命失误，经过加时赛最终还是以3分惜败对手,体育,[],[中国男篮],[波兰]
139,不过，从竞彩官方开出的数据来看，中国男篮在家门口五棵松面对委内瑞拉，指数上给与了不小的优势，赢球赔率为1赔1.18，委内瑞拉赢球赔率则高达1赔3.02,体育,[],[中国男篮],"[五棵松, 委内瑞拉, 委内瑞拉]"
140,C组情况与A组情况几乎相同，首先出局的就是篮球强国西班牙，西班牙一直以来都是能够与美国抗衡的篮球强队，整体水平极高，是本届世界杯总冠军的有力竞争者,体育,[],[],"[西班牙, 西班牙, 美国]"
141,最后一个出线名额将由突尼斯和波多黎各争夺,体育,[],[],"[突尼斯, 波多黎各]"
142,　　然而，这种一家独大的情况就在本届世界杯之前起了变化，一直是各项篮球赛事夺冠“唯一”热门的美国队，不再是“唯一”了,体育,[],[美国队],[]
143,拥有人称“约老师”约基奇为代表的塞尔维亚队抢走了美国队的风头，成为夺冠大热门,体育,[约基奇],"[塞尔维亚队, 美国队]",[]
144,　　对这种情况，不少美国队的球星还不是很服气,体育,[],[美国队],[]
145,但当世界杯真正开战之后，美国队才如梦方醒，能够击败他们的绝对不只塞尔维亚一支球队,体育,[],[美国队],[塞尔维亚]
146,虽然是获胜，但美国队胜得并不从容，尤其是在最后关头，若不是土耳其队四次罚球一分未得，恐怕带走胜利的将会是土耳其队,体育,[],"[美国队, 土耳其队, 土耳其队]",[]
147,　　美国队的胜利是一种“被动胜利”,体育,[],[美国队],[]
148,　　与美国队的险胜相比，球迷和外界对土耳其队的输球更加遗憾,体育,[],"[美国队, 土耳其队]",[]
149,　　男篮世界杯比赛仍在继续，相信随着赛程的推进，美国队到底能不能捍卫尊严，塞尔维亚队能不能成为“新王”，亦或是会不会有“黑马”斜刺里杀出等悬念都将一一揭晓,体育,[],"[美国队, 塞尔维亚队]",[]
150,当日，第十一届全国少数民族传统体育运动会马上项目在内蒙古呼和浩特市拉开帷幕,体育,[],[],"[内蒙古, 呼和浩特市]"
151,昨日上午，第十一全国少数民族传统体育运动会马上表演项目在呼和浩特分赛场举行第一轮竞演，运动员们灵动的身姿在扬起的黄沙中如同一幅壮丽的画卷,体育,[],[],[呼和浩特]
152,7月12日，第十一届全国少数民族传统体育运动会马上项目在呼和浩特市开赛,体育,[],[],[呼和浩特市]
153,2013年，他登上了553.33米高的加拿大国家电视塔（CNTower），该塔是多伦多的地标性建筑，同时也是世界上第五高的自力式建筑,体育,[],[],"[加拿大国家电视塔, 多伦多]"
154,为了备战2019年埃德蒙顿马拉松比赛，科赫每天坚持长距离的训练，每周他要在滑板上滑行120-150英里,体育,[科赫],[],[埃德蒙顿]
155,让更多人相信“我可以”由于自己不同寻常的模样，科赫往往会成为马拉松比赛中的焦点,体育,[科赫],[],[]
156,当看到科赫在滑板上自由活动时，她的眼里发着光，仿佛看到了希望,体育,[科赫],[],[]
157,最终，卡德兰如愿和科赫一起参加了刚刚结束的埃德蒙顿马拉松比赛，虽然她只参加了5公里的比赛,体育,[科赫],[],[埃德蒙顿]
158,的确，这一天很美好，对于科赫来说也是,体育,[科赫],[],[]
159,北纬53度的夏天，20℃左右的气温刚刚好，一年一度的埃德蒙顿马拉松比赛在8月拉开了序幕,体育,[],[],[埃德蒙顿]
160,慢慢的，“你可以的”成为了科赫的人生信条，“什么事情都要去尝试，相比于失败，我更害怕后悔,体育,[科赫],[],[]
161,”科赫不断地挑战自己，他想不断地向大家证明，他可以做的远远超过他们的想象,体育,[科赫],[],[]
162,2016年，身穿一件霓虹色衬衫的科赫和他的滑板出现在了卡尔加里马拉松比赛的赛场上,体育,[科赫],[],[卡尔加里]
163,当然，跑完全马对于任何一个人来说都不是一件容易的事情，对于科赫来说只能是难上加难,体育,[科赫],[],[]
164,为了备战2019年埃德蒙顿马拉松比赛，科赫每天坚持长距离的训练，每周他要在滑板上滑行120-150英里,体育,[科赫],[],[埃德蒙顿]
165,让更多人相信“我可以”由于自己不同寻常的模样，科赫往往会成为马拉松比赛中的焦点,体育,[科赫],[],[]
166,最终，卡德兰如愿和科赫一起参加了刚刚结束的埃德蒙顿马拉松比赛，虽然她只参加了5公里的比赛,体育,[科赫],[],[埃德蒙顿]
167,的确，这一天很美好，对于科赫来说也是,体育,[科赫],[],[]
168,曼奇尼说你的多位置性能够让你在场上适应多个位置，你同意吗,体育,[曼奇尼],[],[]
169,”孔蒂对你有怎样的影响,体育,[孔蒂],[],[]
170,“在孔蒂麾下，你的心理素质会得到增强，这是必然的，我感觉我的心理素质正在提升,体育,[孔蒂],[],[]
171,”对于意大利国家队将要与亚美尼亚和芬兰进行的两场比赛，你怎么看,体育,[],[意大利国家队],"[亚美尼亚, 芬兰]"
172,”你认为孔蒂与曼奇尼在工作上有什么不同,体育,"[孔蒂, 曼奇尼]",[],[]
173,”加盟国米对你有什么影响,体育,[],[国米],[]
174,“加盟国米后，我发现了一个与此前完全不同的世界,体育,[],[国米],[]
175,”关于巴雷拉，你们之间存在竞争吗,体育,[巴雷拉],[],[]
176,“我与巴雷拉是很好的朋友，很明显我们踢相同的位置，所以我们之间会存在竞争，但这是一种良性竞争，球队的利益永远是最重要的，当球队发挥出色时没人会感到不开心,体育,[巴雷拉],[],[]
177,“我会努力帮助国米赢得意甲冠军，同时也会尽全力帮助意大利国家队赢得欧洲杯冠军,体育,[],"[国米, 意大利国家队]",[]
178,出席开赛仪式的有河南省社会体育事务中心副主任李罡、河南省社会体育事务中心运行部部长刘刚、绿东村街道办事处副主任朱东方、昆仑社区主任李鑫、河南百硕体育文化传播有限公司董事长张俊锋、郑州市众善志愿服务中心主任刘凯、河南喜动体育科技有限公司刘丽、郑州吉祥物业公司副经理张红卫等领导,体育,"[李罡, 刘刚, 朱东方, 李鑫, 张俊锋, 刘凯, 刘丽, 张红卫]","[河南省社会体育事务中心, 河南省社会体育事务中心运行部, 绿东村街道办事处, 河南百硕体育文化传播有限公司, 郑州市众善志愿服务中心, 河南喜动体育科技有限公司, 郑州吉祥物业公司]",[昆仑社区]
179,这次比赛活动，提前给广大群众送来中秋节日的祝福，为第十一界全国少数民族传统体育运动会的召开吹响了号角，同时激发出辖区居民参加体育锻炼的热情，极大丰富了广大群众的业余生活，也真正体现出昆仑社区居民崇尚健身、团结向上、积极参与、追求健康文明生活的精神面貌,体育,[],[],[昆仑社区]
180,瓜迪奥拉在赛前新闻发布会上表示，对阵切尔西就像是决赛：“我很尊重切尔西，明天的比赛对我们来说是一场决赛，我们必须有好的表现,体育,[瓜迪奥拉],"[切尔西, 切尔西]",[]
181,　　近日，浙江广厦在澳大利亚与当地球队进行了第7场热身赛,体育,[],[浙江广厦],[澳大利亚]
182,赛后，教练李春江表示，本场比赛的对手很强，是澳洲的一支明星联队,体育,[李春江],[],[澳洲]
183,事件发生时间：2019-02-28事件发生地点：余干县世纪大道事件描述：今天早上九点左右，余干交警在世纪大道没收没有牌照和没有驾驶证的摩托车,体育,[],[],"[余干县, 世纪大道, 余干, 世纪大道]"
184,现在欧洲夏季转会窗口正式关闭，而今夏最热门的转会话题内马尔的去留终于也暂时画上了一个休止符，不过有一名英超球员想要在压哨时间出售时，却面临了无人问津的尴尬,体育,[内马尔],[],[欧洲]
185,因此内马尔将不得不在巴黎再度过另一个赛季，据报道他已经接受了这个令他伤心的结果，并通知了他的家人们将会继续在巴黎生活,体育,[内马尔],[],"[巴黎, 巴黎]"
186,而另一方面，在转会窗口关闭之前，虽然巴萨仍然在寻找一名前锋,体育,[],[巴萨],[]
187,　　据悉，本次盲人按摩师技能大赛共吸引了隆回县和周边县市的30余位盲人按摩师的参与,体育,[],[],[隆回县]
188,希望我也能够追随前辈们的步伐，并在米兰书写自己的一段历史,体育,[],[],[米兰]
189,王家超的参加的组别人数最多，有18人，他又是作为中国唯一一名残疾铁人三项运动员参赛,体育,[王家超],[],[中国]
190,”文章还指出，当时宁泽涛在医院住了一个多月，而担心儿子的宁父，只能在医院外不远处找了家宾馆住下，提心吊胆地守着他,体育,[宁泽涛],[],[]
191,伴他一路走过来的老朋友表示那段时间，宁泽涛“只一个字，‘忍’，就这样生熬过来,体育,[宁泽涛],[],[]
192,俄罗斯新星用7-6(6)，6-3，3-6，6-1的比分击退2016年赛会冠军得主瓦林卡，11场不败首进的四强,体育,[瓦林卡],[],[俄罗斯]
193,瓦林卡4-5落后时反破掉梅德韦杰夫的发球胜盘局,体育,"[瓦林卡, 梅德韦杰夫]",[],[]
194,瓦林卡正拍出界浪费良机，梅德韦杰夫直落3分翻盘,体育,"[瓦林卡, 梅德韦杰夫]",[],[]
